 kode_mata_kuliah |                 nama_mata_kuliah                  | total_mahasiswa_mengambil | total_tidak_lulus | persentase_tidak_lulus | peringkat_kritis
     2020 | Manajemen Pembelajaran Mendalam                   | Wajib             |             802 |         233 |        29.05 |                             42
     2020 | Manajemen Forensik Digital I                      | Wajib             |             655 |         190 |        29.01 |                             43
     2020 | Evaluasi Visi Komputer Berbasis Cloud             | Wajib             |             745 |         216 |        28.99 |                             44
     2020 | Topik Khusus Komputasi Awan Berbasis Cloud        | Wajib             |             656 |         190 |        28.96 |                             45
     2020 | Pemrosesan Bahasa Alami                           | Wajib             |             660 |         191 |        28.94 |                             46
     2020 | Evaluasi Analisis Data Eksploratif                | Wajib             |             802 |         232 |        28.93 |                             47
     2020 | Rekayasa Pengembangan API                         | Wajib             |             702 |         203 |        28.92 |                             48
     2020 | Audit Struktur Data Terapan                       | Wajib             |             664 |         192 |        28.92 |                             49
     2020 | Audit Sistem Terdistribusi Terapan                | Wajib             |             793 |         229 |        28.88 |                             50
     2020 | Praktikum Komputasi Awan II                       | Wajib             |             807 |         233 |        28.87 |                             51
     2020 | Topik Khusus Sistem Operasi Lanjut                | Wajib             |             662 |         191 |        28.85 |                             52
     2020 | Pengantar Statistika Komputasi Lanjut             | Wajib             |             795 |         229 |        28.81 |                             53
     2020 | Sistem Operasi Berbasis Cloud                     | Wajib             |             660 |         190 |        28.79 |                             54
     2020 | Evaluasi Jaringan Komputer Berbasis Cloud         | Wajib             |             806 |         232 |        28.78 |                             55
     2020 | Kriptografi Lanjut                                | Wajib             |             761 |         219 |        28.78 |                             56
     2020 | Manajemen Pembelajaran Mendalam Kontemporer       | Wajib             |             782 |         225 |        28.77 |                             57
     2020 | Evaluasi Algoritma Lanjut                         | Wajib             |             738 |         212 |        28.73 |                             58
     2020 | Audit Pemrosesan Bahasa Alami                     | Wajib             |             832 |         239 |        28.73 |                             59
     2020 | Praktikum Algoritma                               | Wajib             |             745 |         214 |        28.72 |                             60
     2020 | Desain Sistem Basis Data II                       | Wajib             |             766 |         220 |        28.72 |                             61
     2020 | Desain Komputasi Awan I                           | Wajib             |             676 |         194 |        28.70 |                             62
     2020 | Praktikum Komputasi Awan                          | Wajib             |             653 |         187 |        28.64 |                             63
     2020 | Manajemen Manajemen Proyek TI Lanjut              | Wajib             |             793 |         227 |        28.63 |                             64
     2020 | Rekayasa Jaringan Komputer Kontemporer            | Wajib             |             695 |         199 |        28.63 |                             65
     2020 | Desain Algoritma Berbasis Cloud                   | Wajib             |             773 |         221 |        28.59 |                             66
     2020 | Audit Algoritma I                                 | Wajib             |             696 |         199 |        28.59 |                             67
     2020 | Desain Jaringan Komputer                          | Wajib             |             675 |         193 |        28.59 |                             68
     2020 | Desain Forensik Digital Lanjut                    | Wajib             |             707 |         202 |        28.57 |                             69
     2020 | Audit Analisis Data Eksploratif Kontemporer       | Wajib             |             669 |         191 |        28.55 |                             70
     2020 | Evaluasi Sains Data Terapan                       | Wajib             |             690 |         197 |        28.55 |                             71
     2020 | Rekayasa Visi Komputer Berbasis Cloud             | Wajib             |             698 |         199 |        28.51 |                             72
     2020 | Evaluasi Kecerdasan Buatan I                      | Wajib             |             723 |         206 |        28.49 |                             73
     2020 | Pengantar Forensik Digital Kontemporer            | Wajib             |             688 |         196 |        28.49 |                             74
     2020 | Desain Internet of Things Terapan                 | Wajib             |             678 |         193 |        28.47 |                             75
     2020 | Kecerdasan Buatan                                 | Wajib             |             671 |         191 |        28.46 |                             76
     2020 | Desain Rekayasa Perangkat Lunak Terapan           | Wajib             |             665 |         189 |        28.42 |                             77
     2020 | Manajemen Analisis Data Eksploratif Terapan       | Wajib             |             637 |         181 |        28.41 |                             78
     2020 | Pengantar Sistem Basis Data Kontemporer           | Wajib             |             764 |         217 |        28.40 |                             79
     2020 | Desain Jaringan Komputer I                        | Wajib             |             655 |         186 |        28.40 |                             80
     2020 | Pengantar Manajemen Proyek TI Kontemporer         | Wajib             |             733 |         208 |        28.38 |                             81
     2020 | Rekayasa Komputasi Awan Berbasis Cloud            | Wajib             |             719 |         204 |        28.37 |                             82
     2020 | Desain Pengembangan API Lanjut                    | Wajib             |             677 |         192 |        28.36 |                             83
     2020 | Desain Sistem Basis Data Lanjut                   | Wajib             |             695 |         197 |        28.35 |                             84
     2020 | Evaluasi Visi Komputer Kontemporer                | Wajib             |             674 |         191 |        28.34 |                             85
     2020 | Manajemen Internet of Things Lanjut               | Wajib             |             699 |         198 |        28.33 |                             86
     2020 | Sistem Basis Data I                               | Wajib             |             799 |         226 |        28.29 |                             87
     2020 | Keamanan Rekayasa Perangkat Lunak Lanjut          | Wajib             |             714 |         202 |        28.29 |                             88
     2020 | Topik Khusus Matematika Diskrit II                | Wajib             |             792 |         224 |        28.28 |                             89
     2020 | Keamanan Pemrograman Web I                        | Wajib             |             789 |         223 |        28.26 |                             90
     2020 | Desain Struktur Data Terapan                      | Wajib             |             680 |         192 |        28.24 |                             91
     2020 | Desain Manajemen Proyek TI I                      | Wajib             |             797 |         225 |        28.23 |                             92
     2020 | Evaluasi Statistika Komputasi I                   | Wajib             |             793 |         223 |        28.12 |                             93
     2020 | Topik Khusus Algoritma Kontemporer                | Wajib             |             772 |         217 |        28.11 |                             94
     2020 | Praktikum Rekayasa Perangkat Lunak II             | Wajib             |             726 |         204 |        28.10 |                             95
     2020 | Praktikum Visi Komputer Lanjut                    | Wajib             |             680 |         191 |        28.09 |                             96
     2020 | Manajemen Pemrosesan Bahasa Alami Lanjut          | Wajib             |             666 |         187 |        28.08 |                             97
     2020 | Audit Sistem Terdistribusi Lanjut                 | Wajib             |             805 |         226 |        28.07 |                             98
     2020 | Keamanan Pembelajaran Mendalam Terapan            | Wajib             |             720 |         202 |        28.06 |                             99
     2020 | Praktikum Pengembangan API II                     | Wajib             |             660 |         185 |        28.03 |                            100
     2020 | Rekayasa Rekayasa Perangkat Lunak I               | Wajib             |             696 |         195 |        28.02 |                            101
     2020 | Manajemen Visi Komputer                           | Wajib             |             678 |         190 |        28.02 |                            102
     2020 | Manajemen Kriptografi Kontemporer                 | Wajib             |             704 |         197 |        27.98 |                            103
     2020 | Keamanan Statistika Komputasi Kontemporer         | Wajib             |             741 |         207 |        27.94 |                            104
     2020 | Topik Khusus Internet of Things Berbasis Cloud    | Wajib             |             792 |         221 |        27.90 |                            105
     2020 | Sistem Terdistribusi Berbasis Cloud               | Wajib             |             717 |         200 |        27.89 |                            106
     2020 | Keamanan Analisis Data Eksploratif I              | Wajib             |             642 |         179 |        27.88 |                            107
     2020 | Manajemen Pemrograman Web Terapan                 | Wajib             |             614 |         171 |        27.85 |                            108
     2020 | Komputasi Awan I                                  | Wajib             |             686 |         191 |        27.84 |                            109
     2020 | Rekayasa Jaringan Komputer I                      | Wajib             |             661 |         184 |        27.84 |                            110
     2020 | Desain Sistem Terdistribusi Terapan               | Wajib             |             665 |         185 |        27.82 |                            111
     2020 | Praktikum Rekayasa Perangkat Lunak Berbasis Cloud | Wajib             |             642 |         178 |        27.73 |                            112
     2020 | Topik Khusus Rekayasa Perangkat Lunak             | Wajib             |             805 |         223 |        27.70 |                            113
     2020 | Algoritma Lanjut                                  | Wajib             |             704 |         195 |        27.70 |                            114
     2020 | Pengantar Kecerdasan Buatan II                    | Wajib             |             647 |         179 |        27.67 |                            115
     2020 | Rekayasa Struktur Data Terapan                    | Wajib             |             806 |         223 |        27.67 |                            116
     2020 | Pengantar Sistem Terdistribusi I                  | Wajib             |             687 |         190 |        27.66 |                            117
     2020 | Rekayasa Matematika Diskrit                       | Wajib             |             687 |         190 |        27.66 |                            118
     2020 | Topik Khusus Algoritma Berbasis Cloud             | Wajib             |             735 |         203 |        27.62 |                            119
     2020 | Pembelajaran Mesin Kontemporer                    | Wajib             |             693 |         191 |        27.56 |                            120
     2020 | Manajemen Rekayasa Perangkat Lunak I              | Wajib             |             697 |         192 |        27.55 |                            121
     2020 | Topik Khusus Analisis Data Eksploratif Lanjut     | Wajib             |             676 |         186 |        27.51 |                            122
     2020 | Evaluasi Jaringan Komputer Kontemporer            | Wajib             |             709 |         195 |        27.50 |                            123
     2020 | Manajemen Struktur Data                           | Wajib             |             680 |         187 |        27.50 |                            124
     2020 | Desain Matematika Diskrit Terapan                 | Wajib             |             827 |         227 |        27.45 |                            125
     2020 | Pemrosesan Bahasa Alami Terapan                   | Wajib             |             809 |         222 |        27.44 |                            126
     2020 | Evaluasi Pembelajaran Mendalam Terapan            | Wajib             |             704 |         193 |        27.41 |                            127
     2020 | Evaluasi Struktur Data Kontemporer                | Wajib             |             705 |         193 |        27.38 |                            128
     2020 | Pengantar Sains Data Terapan                      | Wajib             |             698 |         191 |        27.36 |                            129
     2020 | Evaluasi Struktur Data I                          | Wajib             |             819 |         224 |        27.35 |                            130
     2020 | Pengantar Sistem Terdistribusi Berbasis Cloud     | Wajib             |             710 |         194 |        27.32 |                            131
     2020 | Pengantar Manajemen Proyek TI Terapan             | Wajib             |             659 |         180 |        27.31 |                            132
     2020 | Audit Visi Komputer Kontemporer                   | Wajib             |             806 |         220 |        27.30 |                            133
     2020 | Keamanan Siber Berbasis Cloud                     | Wajib             |             674 |         184 |        27.30 |                            134
     2020 | Evaluasi Kriptografi Lanjut                       | Wajib             |             810 |         221 |        27.28 |                            135
     2020 | Evaluasi Manajemen Proyek TI Terapan              | Wajib             |             697 |         190 |        27.26 |                            136
     2020 | Praktikum Pembelajaran Mesin II                   | Wajib             |             664 |         181 |        27.26 |                            137
     2020 | Rekayasa Pengembangan API I                       | Wajib             |             686 |         187 |        27.26 |                            138
     2020 | Jaringan Komputer Terapan                         | Wajib             |             775 |         211 |        27.23 |                            139
     2020 | Sistem Terdistribusi II                           | Wajib             |             753 |         205 |        27.22 |                            140
     2020 | Audit Struktur Data I                             | Wajib             |             803 |         218 |        27.15 |                            141
     2020 | Evaluasi Statistika Komputasi Kontemporer         | Wajib             |             763 |         207 |        27.13 |                            142
     2020 | Keamanan Statistika Komputasi Lanjut              | Wajib             |             734 |         199 |        27.11 |                            143
     2020 | Rekayasa Visi Komputer Terapan                    | Wajib             |             701 |         190 |        27.10 |                            144
     2020 | Pengantar Algoritma Berbasis Cloud                | Wajib             |             790 |         214 |        27.09 |                            145
     2020 | Topik Khusus Jaringan Komputer Berbasis Cloud     | Wajib             |             820 |         222 |        27.07 |                            146
     2020 | Evaluasi Sistem Basis Data Lanjut                 | Wajib             |             684 |         185 |        27.05 |                            147
     2020 | Topik Khusus Pembelajaran Mesin Kontemporer       | Wajib             |             681 |         184 |        27.02 |                            148
     2020 | Pembelajaran Mendalam Lanjut                      | Wajib             |             805 |         217 |        26.96 |                            149
     2020 | Keamanan Pembelajaran Mesin                       | Wajib             |             699 |         188 |        26.90 |                            150
     2020 | Keamanan Pembelajaran Mendalam Lanjut             | Wajib             |             673 |         181 |        26.89 |                            151
     2020 | Rekayasa Sistem Terdistribusi I                   | Wajib             |             659 |         177 |        26.86 |                            152
     2020 | Topik Khusus Pemrosesan Bahasa Alami Lanjut       | Wajib             |             782 |         210 |        26.85 |                            153
     2020 | Praktikum Kriptografi Lanjut                      | Wajib             |             663 |         178 |        26.85 |                            154
     2020 | Pengantar Pemrosesan Bahasa Alami Berbasis Cloud  | Wajib             |             809 |         217 |        26.82 |                            155
     2020 | Praktikum Pemrosesan Bahasa Alami Lanjut          | Wajib             |             795 |         213 |        26.79 |                            156
     2020 | Desain Sistem Terdistribusi II                    | Wajib             |             665 |         178 |        26.77 |                            157
     2020 | Desain Pemrograman Web Kontemporer                | Wajib             |             826 |         220 |        26.63 |                            158
     2020 | Pengantar Sistem Operasi                          | Wajib             |             710 |         189 |        26.62 |                            159
     2020 | Audit Jaringan Komputer Lanjut                    | Wajib             |             812 |         216 |        26.60 |                            160
     2020 | Desain Kriptografi Berbasis Cloud                 | Wajib             |             624 |         166 |        26.60 |                            161
     2020 | Praktikum Sistem Operasi I                        | Wajib             |             786 |         209 |        26.59 |                            162
     2020 | Pengantar Pemrosesan Bahasa Alami Terapan         | Wajib             |             710 |         188 |        26.48 |                            163
     2020 | Audit Analisis Data Eksploratif Berbasis Cloud    | Wajib             |             699 |         185 |        26.47 |                            164
     2020 | Kriptografi Terapan                               | Wajib             |             794 |         210 |        26.45 |                            165
     2020 | Desain Pembelajaran Mendalam II                   | Wajib             |             655 |         173 |        26.41 |                            166
     2020 | Desain Matematika Diskrit I                       | Wajib             |             698 |         184 |        26.36 |                            167
     2020 | Audit Visi Komputer Berbasis Cloud                | Wajib             |             729 |         192 |        26.34 |                            168
     2020 | Praktikum Sistem Operasi Kontemporer              | Wajib             |             665 |         175 |        26.32 |                            169
     2020 | Praktikum Sains Data Lanjut                       | Wajib             |             654 |         172 |        26.30 |                            170
     2020 | Rekayasa Sains Data                               | Wajib             |             700 |         184 |        26.29 |                            171
     2020 | Praktikum Struktur Data Terapan                   | Wajib             |             666 |         175 |        26.28 |                            172
     2020 | Praktikum Pemrograman Web I                       | Wajib             |             750 |         197 |        26.27 |                            173
     2020 | Topik Khusus Visi Komputer Terapan                | Wajib             |             828 |         217 |        26.21 |                            174
     2020 | Pengantar Pemrograman Web Lanjut                  | Wajib             |             763 |         200 |        26.21 |                            175
     2020 | Rekayasa Statistika Komputasi I                   | Wajib             |             818 |         214 |        26.16 |                            176
     2020 | Audit Forensik Digital Lanjut                     | Wajib             |             723 |         189 |        26.14 |                            177
     2020 | Evaluasi Pembelajaran Mesin Kontemporer           | Wajib             |             700 |         183 |        26.14 |                            178
     2020 | Evaluasi Struktur Data Lanjut                     | Wajib             |             781 |         204 |        26.12 |                            179
     2020 | Praktikum Pemrosesan Bahasa Alami II              | Wajib             |             797 |         208 |        26.10 |                            180
     2020 | Desain Algoritma                                  | Wajib             |             705 |         184 |        26.10 |                            181
     2020 | Topik Khusus Jaringan Komputer                    | Wajib             |             637 |         166 |        26.06 |                            182
     2020 | Pengembangan API II                               | Wajib             |             675 |         175 |        25.93 |                            183
     2020 | Pengantar Forensik Digital II                     | Wajib             |             776 |         201 |        25.90 |                            184
     2020 | Keamanan Matematika Diskrit Berbasis Cloud        | Wajib             |             684 |         177 |        25.88 |                            185
     2020 | Audit Pengembangan API                            | Wajib             |             750 |         193 |        25.73 |                            186
     2020 | Manajemen Kecerdasan Buatan II                    | Wajib             |             717 |         184 |        25.66 |                            187
     2020 | Rekayasa Internet of Things Lanjut                | Wajib             |             691 |         177 |        25.62 |                            188
     2020 | Manajemen Pemrosesan Bahasa Alami Terapan         | Wajib             |             660 |         169 |        25.61 |                            189
     2020 | Rekayasa Pembelajaran Mesin Berbasis Cloud        | Wajib             |             848 |         216 |        25.47 |                            190
     2020 | Praktikum Pembelajaran Mesin Terapan              | Wajib             |             632 |         160 |        25.32 |                            191
     2020 | Evaluasi Pengembangan API Lanjut                  | Wajib             |             713 |         180 |        25.25 |                            192
     2020 | Pengantar Sistem Terdistribusi Terapan            | Wajib             |             725 |         183 |        25.24 |                            193
     2020 | Audit Matematika Diskrit II                       | Wajib             |             738 |         186 |        25.20 |                            194
     2020 | Keamanan Rekayasa Perangkat Lunak II              | Wajib             |             716 |         180 |        25.14 |                            195
     2020 | Desain Algoritma II                               | Wajib             |             727 |         182 |        25.03 |                            196
     2020 | Audit Sains Data II                               | Wajib             |             809 |         201 |        24.85 |                            197
     2020 | Praktikum Pembelajaran Mendalam Lanjut            | Wajib             |             646 |         160 |        24.77 |                            198
     2020 | Rekayasa Forensik Digital Kontemporer             | Wajib             |             687 |         165 |        24.02 |                            199
     2020 | Manajemen Pemrosesan Bahasa Alami Kontemporer     | Wajib             |             631 |         151 |        23.93 |                            200
     2021 | Praktikum Pembelajaran Mendalam Terapan           | Wajib             |             546 |         185 |        33.88 |                              1
     2021 | Manajemen Analisis Data Eksploratif Terapan       | Wajib             |             509 |         167 |        32.81 |                              2
     2021 | Praktikum Pembelajaran Mesin II                   | Wajib             |             562 |         183 |        32.56 |                              3
     2021 | Topik Khusus Matematika Diskrit II                | Wajib             |             623 |         200 |        32.10 |                              4
     2021 | Pengantar Sistem Basis Data Kontemporer           | Wajib             |             618 |         198 |        32.04 |                              5
     2021 | Rekayasa Sistem Terdistribusi I                   | Wajib             |             515 |         164 |        31.84 |                              6
     2021 | Evaluasi Jaringan Komputer Berbasis Cloud         | Wajib             |             616 |         196 |        31.82 |                              7
     2021 | Desain Rekayasa Perangkat Lunak Terapan           | Wajib             |             513 |         163 |        31.77 |                              8
     2021 | Pembelajaran Mendalam Berbasis Cloud              | Wajib             |             550 |         174 |        31.64 |                              9
     2021 | Topik Khusus Pemrosesan Bahasa Alami Lanjut       | Wajib             |             604 |         191 |        31.62 |                             10
     2021 | Manajemen Pemrosesan Bahasa Alami Lanjut          | Wajib             |             538 |         170 |        31.60 |                             11
     2021 | Keamanan Kecerdasan Buatan Lanjut                 | Wajib             |             559 |         176 |        31.48 |                             12
     2021 | Rekayasa Internet of Things Lanjut                | Wajib             |             518 |         163 |        31.47 |                             13
     2021 | Desain Algoritma                                  | Wajib             |             581 |         180 |        30.98 |                             14
     2021 | Topik Khusus Algoritma Berbasis Cloud             | Wajib             |             559 |         173 |        30.95 |                             15
     2021 | Praktikum Rekayasa Perangkat Lunak Berbasis Cloud | Wajib             |             525 |         162 |        30.86 |                             16
     2021 | Evaluasi Pengembangan API Lanjut                  | Wajib             |             506 |         156 |        30.83 |                             17
     2021 | Praktikum Pembelajaran Mendalam Lanjut            | Wajib             |             569 |         175 |        30.76 |                             18
     2021 | Audit Sistem Terdistribusi I                      | Wajib             |             534 |         164 |        30.71 |                             19
     2021 | Praktikum Komputasi Awan II                       | Wajib             |             638 |         195 |        30.56 |                             20
     2021 | Desain Sistem Terdistribusi II                    | Wajib             |             550 |         167 |        30.36 |                             21
     2021 | Praktikum Struktur Data Terapan                   | Wajib             |             544 |         165 |        30.33 |                             22
     2021 | Desain Keamanan Siber Lanjut                      | Wajib             |             510 |         154 |        30.20 |                             23
     2021 | Pengembangan API II                               | Wajib             |             526 |         158 |        30.04 |                             24
     2021 | Manajemen Kecerdasan Buatan II                    | Wajib             |             513 |         154 |        30.02 |                             25
     2021 | Manajemen Pembelajaran Mendalam Kontemporer       | Wajib             |             630 |         189 |        30.00 |                             26
     2021 | Audit Analisis Data Eksploratif Berbasis Cloud    | Wajib             |             582 |         174 |        29.90 |                             27
     2021 | Rekayasa Komputasi Awan II                        | Wajib             |             536 |         160 |        29.85 |                             28
     2021 | Rekayasa Pengembangan API                         | Wajib             |             523 |         156 |        29.83 |                             29
     2021 | Pembelajaran Mesin Kontemporer                    | Wajib             |             552 |         164 |        29.71 |                             30
     2021 | Rekayasa Pembelajaran Mesin Berbasis Cloud        | Wajib             |             621 |         184 |        29.63 |                             31
     2021 | Pembelajaran Mendalam Lanjut                      | Wajib             |             642 |         190 |        29.60 |                             32
     2021 | Desain Pemrograman Web Kontemporer                | Wajib             |             632 |         187 |        29.59 |                             33
     2021 | Evaluasi Statistika Komputasi Terapan             | Wajib             |             592 |         175 |        29.56 |                             34
     2021 | Manajemen Pembelajaran Mesin II                   | Wajib             |             592 |         175 |        29.56 |                             35
     2021 | Topik Khusus Jaringan Komputer Berbasis Cloud     | Wajib             |             610 |         180 |        29.51 |                             36
     2021 | Rekayasa Pengembangan API I                       | Wajib             |             549 |         162 |        29.51 |                             37
     2021 | Pengantar Pemrosesan Bahasa Alami Terapan         | Wajib             |             577 |         170 |        29.46 |                             38
     2021 | Desain Struktur Data Terapan                      | Wajib             |             499 |         147 |        29.46 |                             39
     2021 | Praktikum Sistem Operasi Kontemporer              | Wajib             |             550 |         162 |        29.45 |                             40
     2021 | Audit Sains Data II                               | Wajib             |             625 |         184 |        29.44 |                             41
     2021 | Keamanan Matematika Diskrit Berbasis Cloud        | Wajib             |             571 |         168 |        29.42 |                             42
     2021 | Sistem Terdistribusi Berbasis Cloud               | Wajib             |             571 |         168 |        29.42 |                             43
     2021 | Praktikum Pembelajaran Mesin Lanjut               | Wajib             |             636 |         187 |        29.40 |                             44
     2021 | Sistem Operasi Berbasis Cloud                     | Wajib             |             521 |         153 |        29.37 |                             45
     2021 | Manajemen Struktur Data Berbasis Cloud            | Wajib             |             528 |         155 |        29.36 |                             46
     2021 | Audit Kriptografi                                 | Wajib             |             620 |         182 |        29.35 |                             47
     2021 | Audit Forensik Digital Lanjut                     | Wajib             |             522 |         153 |        29.31 |                             48
     2021 | Rekayasa Visi Komputer Terapan                    | Wajib             |             482 |         141 |        29.25 |                             49
     2021 | Evaluasi Pembelajaran Mesin Kontemporer           | Wajib             |             562 |         164 |        29.18 |                             50
     2021 | Evaluasi Forensik Digital I                       | Wajib             |             602 |         175 |        29.07 |                             51
     2021 | Manajemen Internet of Things Lanjut               | Wajib             |             552 |         160 |        28.99 |                             52
     2021 | Praktikum Visi Komputer II                        | Wajib             |             628 |         182 |        28.98 |                             53
     2021 | Topik Khusus Internet of Things Berbasis Cloud    | Wajib             |             618 |         179 |        28.96 |                             54
     2021 | Audit Pemrosesan Bahasa Alami                     | Wajib             |             618 |         179 |        28.96 |                             55
     2021 | Pengantar Manajemen Proyek TI Berbasis Cloud      | Wajib             |             657 |         190 |        28.92 |                             56
     2021 | Keamanan Siber Berbasis Cloud                     | Wajib             |             558 |         161 |        28.85 |                             57
     2021 | Audit Analisis Data Eksploratif Kontemporer       | Wajib             |             528 |         152 |        28.79 |                             58
     2021 | Audit Algoritma I                                 | Wajib             |             528 |         152 |        28.79 |                             59
     2021 | Rekayasa Pemrograman Web II                       | Wajib             |             525 |         151 |        28.76 |                             60
     2021 | Desain Matematika Diskrit I                       | Wajib             |             581 |         167 |        28.74 |                             61
     2021 | Audit Jaringan Komputer Lanjut                    | Wajib             |             658 |         189 |        28.72 |                             62
     2021 | Rekayasa Statistika Komputasi I                   | Wajib             |             599 |         172 |        28.71 |                             63
     2021 | Pengantar Pemrosesan Bahasa Alami Berbasis Cloud  | Wajib             |             659 |         189 |        28.68 |                             64
     2021 | Rekayasa Visi Komputer Berbasis Cloud             | Wajib             |             527 |         151 |        28.65 |                             65
     2021 | Manajemen Manajemen Proyek TI Lanjut              | Wajib             |             618 |         177 |        28.64 |                             66
     2021 | Desain Komputasi Awan I                           | Wajib             |             549 |         157 |        28.60 |                             67
     2021 | Desain Jaringan Komputer                          | Wajib             |             532 |         152 |        28.57 |                             68
     2021 | Rekayasa Rekayasa Perangkat Lunak I               | Wajib             |             574 |         164 |        28.57 |                             69
     2021 | Pengantar Manajemen Proyek TI Terapan             | Wajib             |             501 |         143 |        28.54 |                             70
     2021 | Audit Visi Komputer Kontemporer                   | Wajib             |             589 |         168 |        28.52 |                             71
     2021 | Praktikum Komputasi Awan Terapan                  | Wajib             |             492 |         140 |        28.46 |                             72
     2021 | Topik Khusus Rekayasa Perangkat Lunak             | Wajib             |             629 |         179 |        28.46 |                             73
     2021 | Keamanan Statistika Komputasi Lanjut              | Wajib             |             542 |         154 |        28.41 |                             74
     2021 | Evaluasi Pemrograman Web Terapan                  | Wajib             |             553 |         157 |        28.39 |                             75
     2021 | Pengantar Sains Data Terapan                      | Wajib             |             533 |         151 |        28.33 |                             76
     2021 | Desain Algoritma II                               | Wajib             |             505 |         143 |        28.32 |                             77
     2021 | Keamanan Rekayasa Perangkat Lunak II              | Wajib             |             569 |         161 |        28.30 |                             78
     2021 | Evaluasi Algoritma Lanjut                         | Wajib             |             555 |         157 |        28.29 |                             79
     2021 | Pengantar Forensik Digital II                     | Wajib             |             612 |         173 |        28.27 |                             80
     2021 | Evaluasi Analisis Data Eksploratif                | Wajib             |             605 |         171 |        28.26 |                             81
     2021 | Pengantar Pemrograman Web Lanjut                  | Wajib             |             620 |         175 |        28.23 |                             82
     2021 | Audit Visi Komputer                               | Wajib             |             638 |         180 |        28.21 |                             83
     2021 | Desain Pengembangan API Lanjut                    | Wajib             |             511 |         144 |        28.18 |                             84
     2021 | Desain Algoritma Berbasis Cloud                   | Wajib             |             664 |         187 |        28.16 |                             85
     2021 | Praktikum Visi Komputer Lanjut                    | Wajib             |             547 |         154 |        28.15 |                             86
     2021 | Evaluasi Statistika Komputasi Kontemporer         | Wajib             |             622 |         175 |        28.14 |                             87
     2021 | Evaluasi Manajemen Proyek TI Berbasis Cloud       | Wajib             |             645 |         181 |        28.06 |                             88
     2021 | Keamanan Struktur Data I                          | Wajib             |             628 |         176 |        28.03 |                             89
     2021 | Sains Data Berbasis Cloud                         | Wajib             |             561 |         157 |        27.99 |                             90
     2021 | Rekayasa Manajemen Proyek TI Lanjut               | Wajib             |             551 |         154 |        27.95 |                             91
     2021 | Manajemen Kriptografi Kontemporer                 | Wajib             |             544 |         152 |        27.94 |                             92
     2021 | Praktikum Algoritma                               | Wajib             |             652 |         182 |        27.91 |                             93
     2021 | Audit Sistem Basis Data Berbasis Cloud            | Wajib             |             653 |         182 |        27.87 |                             94
     2021 | Algoritma Lanjut                                  | Wajib             |             560 |         156 |        27.86 |                             95
     2021 | Evaluasi Visi Komputer Kontemporer                | Wajib             |             499 |         139 |        27.86 |                             96
     2021 | Struktur Data                                     | Wajib             |             517 |         144 |        27.85 |                             97
     2021 | Audit Statistika Komputasi Lanjut                 | Wajib             |             625 |         174 |        27.84 |                             98
     2021 | Evaluasi Sistem Basis Data Lanjut                 | Wajib             |             550 |         153 |        27.82 |                             99
     2021 | Audit Visi Komputer Berbasis Cloud                | Wajib             |             576 |         160 |        27.78 |                            100
     2021 | Kecerdasan Buatan                                 | Wajib             |             515 |         143 |        27.77 |                            101
     2021 | Manajemen Pemrosesan Bahasa Alami Terapan         | Wajib             |             515 |         143 |        27.77 |                            102
     2021 | Evaluasi Sains Data Terapan                       | Wajib             |             544 |         151 |        27.76 |                            103
     2021 | Pengantar Manajemen Proyek TI Kontemporer         | Wajib             |             555 |         154 |        27.75 |                            104
     2021 | Keamanan Pembelajaran Mendalam Lanjut             | Wajib             |             548 |         152 |        27.74 |                            105
     2021 | Audit Pengembangan API                            | Wajib             |             621 |         172 |        27.70 |                            106
     2021 | Pengantar Forensik Digital Kontemporer            | Wajib             |             565 |         156 |        27.61 |                            107
     2021 | Rekayasa Jaringan Komputer Kontemporer            | Wajib             |             540 |         149 |        27.59 |                            108
     2021 | Pengantar Sistem Terdistribusi Terapan            | Wajib             |             544 |         150 |        27.57 |                            109
     2021 | Evaluasi Kecerdasan Buatan I                      | Wajib             |             548 |         151 |        27.55 |                            110
     2021 | Komputasi Awan I                                  | Wajib             |             570 |         157 |        27.54 |                            111
     2021 | Desain Kriptografi Berbasis Cloud                 | Wajib             |             534 |         147 |        27.53 |                            112
     2021 | Praktikum Sistem Operasi I                        | Wajib             |             658 |         181 |        27.51 |                            113
     2021 | Pengantar Sistem Terdistribusi Berbasis Cloud     | Wajib             |             521 |         143 |        27.45 |                            114
     2021 | Manajemen Struktur Data                           | Wajib             |             511 |         140 |        27.40 |                            115
     2021 | Desain Internet of Things Terapan                 | Wajib             |             479 |         131 |        27.35 |                            116
     2021 | Praktikum Komputasi Awan                          | Wajib             |             534 |         146 |        27.34 |                            117
     2021 | Topik Khusus Jaringan Komputer                    | Wajib             |             542 |         148 |        27.31 |                            118
     2021 | Praktikum Pengembangan API II                     | Wajib             |             529 |         144 |        27.22 |                            119
